idade,pontuação,anos escolares,ganho de capital,perda de capital,horas semanais,renda,classe
56,131608,10,0,0,40, >50K,0
36,205555,15,0,0,40, <=50K,1
30,216811,9,0,0,40, <=50K,1
52,256916,9,0,0,40, <=50K,1
41,163287,9,7688,0,43, >50K,0
37,212437,10,0,0,48, <=50K,1
18,118938,7,0,0,18, <=50K,1
42,201723,10,0,0,40, <=50K,1
61,163393,9,0,0,20, <=50K,1
62,57970,4,0,0,40, <=50K,1
35,181020,9,0,0,60, <=50K,1
27,224849,9,0,0,40, <=50K,1
57,316000,9,0,0,40, <=50K,1
45,26522,10,0,1902,35, >50K,0
24,247734,13,0,0,30, <=50K,1
25,98283,13,0,0,40, <=50K,1
27,280758,7,0,0,60, <=50K,1
26,174592,10,0,0,40, <=50K,1
55,71630,9,0,1617,40, <=50K,1
43,188436,14,5013,0,45, <=50K,1
19,30559,9,0,0,40, <=50K,1
32,190228,9,0,0,40, <=50K,1
27,198258,13,0,0,35, <=50K,1
31,102270,4,0,0,40, <=50K,1
18,127388,8,0,0,25, <=50K,1
25,120535,9,0,0,40, <=50K,1
26,43408,13,0,0,40, <=50K,1
36,218015,10,0,0,48, <=50K,1
42,65372,10,0,0,40, <=50K,1
31,156890,4,0,0,40, <=50K,1
34,200192,10,0,0,40, <=50K,1
49,111959,13,0,0,60, >50K,0
25,264012,13,0,0,45, >50K,0
25,193787,10,0,0,50, <=50K,1
19,242001,10,0,0,40, <=50K,1
52,92968,13,0,0,40, <=50K,1
48,207817,9,0,0,32, <=50K,1
24,181820,10,0,0,40, <=50K,1
22,171176,9,0,0,48, <=50K,1
31,144949,13,0,0,60, <=50K,1
23,330571,13,0,0,16, <=50K,1
34,234960,13,0,1887,48, >50K,0
60,188650,3,0,0,40, >50K,0
72,94242,10,0,0,16, <=50K,1
24,138938,10,0,0,40, <=50K,1
52,162381,9,0,0,40, <=50K,1
22,416165,10,0,0,32, <=50K,1
53,187356,10,0,0,66, <=50K,1
30,327112,13,0,1564,40, >50K,0
31,98639,13,0,0,40, <=50K,1
50,293196,9,7298,0,40, >50K,0
26,186950,11,0,0,40, >50K,0
32,269182,10,3887,0,40, <=50K,1
41,236021,13,15024,0,40, >50K,0
30,251120,12,0,0,40, <=50K,1
50,194514,14,0,0,50, <=50K,1
27,46442,13,0,0,35, <=50K,1
17,51939,7,0,0,15, <=50K,1
59,96840,9,0,0,40, <=50K,1
44,173981,9,0,0,40, <=50K,1
34,286675,9,0,0,40, <=50K,1
30,345122,15,0,0,50, <=50K,1
25,632834,9,0,0,40, <=50K,1
35,186489,5,0,0,46, <=50K,1
39,24721,10,0,0,35, <=50K,1
68,202699,14,0,2377,42, >50K,0
41,58484,13,0,0,40, <=50K,1
30,158420,13,0,0,25, <=50K,1
57,25124,9,0,0,60, <=50K,1
33,1161363,10,0,0,50, <=50K,1
35,119272,13,0,0,55, >50K,0
33,249249,3,0,0,50, >50K,0
18,437851,10,0,0,40, <=50K,1
47,280798,10,0,0,40, >50K,0
36,48093,10,0,0,92, <=50K,1
24,92609,13,0,0,45, <=50K,1
40,199599,6,0,0,40, >50K,0
47,503454,8,0,0,40, <=50K,1
64,50442,5,0,0,40, <=50K,1
27,35032,10,0,0,40, >50K,0
36,154835,9,0,0,40, <=50K,1
40,116632,13,0,0,80, <=50K,1
36,183279,9,0,0,40, <=50K,1
26,383306,8,0,0,40, <=50K,1
42,230684,9,5178,0,50, >50K,0
34,344275,9,0,0,70, <=50K,1
45,235431,9,0,0,40, <=50K,1
26,197530,14,0,0,40, <=50K,1
42,281209,10,0,0,50, <=50K,1
55,314592,9,0,0,40, >50K,0
17,99175,7,0,0,20, <=50K,1
31,27494,10,0,0,50, <=50K,1
26,58098,10,0,1974,40, <=50K,1
35,190174,10,0,0,40, <=50K,1
53,257126,8,0,0,45, <=50K,1
70,282642,9,0,2174,40, >50K,0
30,19302,10,0,0,48, <=50K,1
45,216402,15,0,0,50, >50K,0
34,228881,10,0,0,40, <=50K,1
49,48495,9,0,0,45, <=50K,1
17,198797,7,0,0,20, <=50K,1
22,106843,6,0,0,30, <=50K,1
36,142573,9,0,0,45, >50K,0
31,150309,16,0,0,90, <=50K,1
28,183151,7,7688,0,40, >50K,0
51,117496,14,0,0,40, >50K,0
40,289748,13,4650,0,48, <=50K,1
47,110243,7,0,0,40, <=50K,1
30,248588,8,0,0,40, <=50K,1
35,101709,9,0,0,60, <=50K,1
44,173704,13,0,0,40, >50K,0
33,405913,10,0,0,40, >50K,0
27,218785,9,0,0,40, <=50K,1
46,119904,15,0,1564,55, >50K,0
24,180931,13,0,0,30, <=50K,1
24,218678,10,0,0,49, <=50K,1
34,36385,14,0,2258,50, <=50K,1
31,243605,13,0,1380,40, <=50K,1
28,115579,11,0,0,38, <=50K,1
28,388112,2,0,0,77, <=50K,1
24,653574,9,0,0,40, <=50K,1
81,201398,14,0,0,60, <=50K,1
47,206659,10,0,0,40, <=50K,1
49,163229,9,0,0,50, <=50K,1
45,168262,9,0,1887,40, >50K,0
45,47314,10,0,1902,40, >50K,0
17,171461,6,0,0,20, <=50K,1
20,51816,9,0,0,40, <=50K,1
44,456236,10,0,0,45, >50K,0
43,162108,13,0,0,40, <=50K,1
31,352465,10,15024,0,50, >50K,0
52,338816,14,0,0,70, >50K,0
64,265661,9,0,0,40, <=50K,1
54,284952,6,0,0,43, <=50K,1
29,198493,11,0,0,40, >50K,0
30,77689,13,7688,0,50, >50K,0
31,111843,12,0,0,40, <=50K,1
39,77516,13,2174,0,40, <=50K,1
21,299153,10,0,0,15, <=50K,1
24,309055,10,0,0,15, <=50K,1
31,128016,13,0,0,40, <=50K,1
17,160029,7,0,0,22, <=50K,1
40,199900,12,0,1848,55, >50K,0
49,71195,14,0,0,60, <=50K,1
29,177651,10,0,0,45, <=50K,1
32,553405,13,99999,0,50, >50K,0
53,123429,10,0,0,60, >50K,0
26,134004,10,0,0,40, <=50K,1
22,203240,6,0,0,40, <=50K,1
39,189385,10,0,0,30, <=50K,1
25,201635,13,0,0,50, <=50K,1
24,119704,9,0,0,40, <=50K,1
56,367200,9,0,0,40, <=50K,1
49,116892,13,0,0,40, <=50K,1
63,137843,10,7298,0,48, >50K,0
35,54159,9,0,0,38, <=50K,1
51,289436,13,0,0,60, >50K,0
30,293936,9,0,0,50, <=50K,1
43,27242,10,0,0,50, <=50K,1
30,112263,7,0,0,40, <=50K,1
44,151985,14,0,0,24, >50K,0
37,125550,9,0,0,60, <=50K,1
42,30424,7,0,0,38, <=50K,1
41,125831,9,0,1887,55, >50K,0
46,52291,13,7688,0,45, >50K,0
32,34104,9,3103,0,55, >50K,0
26,164488,13,13550,0,50, >50K,0
40,37869,9,0,0,50, <=50K,1
32,198068,9,0,0,60, <=50K,1
54,103345,11,0,0,40, >50K,0
41,156566,13,4386,0,50, >50K,0
28,119793,10,0,0,40, <=50K,1
21,155066,10,0,0,40, <=50K,1
38,196554,15,0,0,35, >50K,0
35,20469,10,0,0,40, <=50K,1
50,189811,13,0,0,40, >50K,0
56,178202,10,0,0,40, <=50K,1
40,247880,13,0,0,40, >50K,0
42,190767,11,0,0,40, <=50K,1
28,213081,7,0,0,40, <=50K,1
36,208358,5,4650,0,56, <=50K,1
49,194962,7,0,0,6, <=50K,1
20,57898,8,0,0,40, <=50K,1
40,92036,9,0,0,40, >50K,0
38,115433,12,7688,0,33, >50K,0
20,33087,11,0,0,40, <=50K,1
51,86373,13,0,0,25, <=50K,1
21,99199,9,0,0,32, <=50K,1
37,421633,14,0,0,40, >50K,0
35,98389,10,0,0,10, <=50K,1
40,110622,15,0,0,40, <=50K,1
64,264544,14,0,0,5, >50K,0
30,186932,13,0,0,70, <=50K,1
25,175540,9,0,0,50, <=50K,1
42,204235,10,0,0,40, >50K,0
35,30673,8,0,0,84, <=50K,1
18,164441,10,0,0,38, <=50K,1
25,64860,10,0,0,22, <=50K,1
32,76773,10,0,0,40, <=50K,1
40,202872,9,0,0,40, >50K,0
28,73211,10,0,0,20, <=50K,1
37,191754,13,0,0,50, >50K,0
81,98116,13,0,0,50, >50K,0
23,145111,9,0,0,50, <=50K,1
52,146711,13,0,0,50, >50K,0
45,170099,12,0,0,40, <=50K,1
19,243960,10,0,0,16, <=50K,1
35,75855,14,7298,0,40, >50K,0
23,183789,9,0,0,40, <=50K,1
35,411395,10,0,0,36, <=50K,1
38,101192,10,0,0,40, <=50K,1
39,347434,5,0,0,43, <=50K,1
47,33710,13,3103,0,60, >50K,0
36,130589,10,0,0,45, <=50K,1
21,321666,9,594,0,40, <=50K,1
30,356882,16,0,0,20, <=50K,1
28,56340,14,0,0,40, <=50K,1
47,285200,9,0,0,40, <=50K,1
20,286166,9,0,0,48, <=50K,1
25,157900,10,0,0,40, <=50K,1
60,114263,13,0,0,40, >50K,0
24,183594,11,0,0,20, <=50K,1
43,83411,10,0,0,50, >50K,0
33,549413,10,0,0,40, >50K,0
51,251487,4,0,0,40, <=50K,1
33,206609,13,0,0,45, <=50K,1
22,127647,9,0,0,36, <=50K,1
36,273604,13,0,0,40, <=50K,1
40,333530,14,0,0,40, >50K,0
28,68642,9,0,0,46, <=50K,1
28,204984,13,0,0,45, <=50K,1
40,106698,12,0,0,40, <=50K,1
27,389713,10,0,0,40, <=50K,1
31,265509,11,0,0,32, <=50K,1
25,77071,13,0,2339,35, <=50K,1
22,83704,10,0,0,30, <=50K,1
38,33983,10,0,0,40, <=50K,1
34,289731,7,0,0,40, <=50K,1
45,96975,10,0,0,40, <=50K,1
31,83671,10,0,0,40, <=50K,1
28,288731,13,0,0,20, <=50K,1
44,163215,8,0,0,40, <=50K,1
31,31740,11,0,0,55, <=50K,1
29,110134,10,0,0,40, <=50K,1
17,192387,5,0,0,45, <=50K,1
55,98361,14,15024,0,50, >50K,0
32,175856,13,0,1902,40, >50K,0
50,238187,13,0,0,37, <=50K,1
26,245029,13,0,0,40, <=50K,1
33,119176,10,0,0,40, <=50K,1
45,187666,11,0,0,45, <=50K,1
47,161950,13,0,0,25, <=50K,1
80,225892,9,1409,0,40, <=50K,1
56,178033,10,4416,0,60, <=50K,1
33,295621,13,0,0,25, >50K,0
46,109089,15,0,0,40, >50K,0
28,110145,9,0,0,40, <=50K,1
49,36032,10,0,0,40, <=50K,1
38,169104,13,0,0,40, >50K,0
41,200671,13,6497,0,40, <=50K,1
44,179136,9,0,0,40, <=50K,1
64,207321,10,0,0,20, <=50K,1
47,107682,9,0,0,48, <=50K,1
24,163480,14,0,0,40, <=50K,1
20,34568,9,3781,0,35, <=50K,1
26,98155,9,0,0,55, <=50K,1
30,159589,14,0,0,46, >50K,0
18,163332,9,0,0,22, <=50K,1
49,198759,12,15024,0,60, >50K,0
44,146659,14,0,1887,35, >50K,0
54,179704,13,0,0,45, >50K,0
42,557644,9,0,0,40, <=50K,1
19,258633,10,0,0,25, <=50K,1
51,204304,10,0,0,50, >50K,0
37,75050,11,0,0,55, <=50K,1
49,250733,9,0,0,46, <=50K,1
45,185397,12,0,0,40, <=50K,1
28,180928,10,5013,0,55, <=50K,1
45,151584,15,0,0,35, >50K,0
44,271792,13,0,0,40, <=50K,1
17,19752,7,0,0,25, <=50K,1
36,255454,9,0,0,30, <=50K,1
31,196791,15,0,0,45, >50K,0
51,254230,10,0,0,40, >50K,0
78,27979,9,2228,0,32, <=50K,1
34,45114,13,0,0,40, <=50K,1
28,51961,10,0,0,24, <=50K,1
36,346478,13,0,2415,45, >50K,0
38,225605,10,0,0,44, <=50K,1
30,101283,10,0,0,40, <=50K,1
51,357949,13,0,0,16, <=50K,1
55,129173,9,0,0,40, <=50K,1
24,192201,10,0,0,20, <=50K,1
44,155930,13,0,0,60, <=50K,1
38,91039,14,0,0,65, >50K,0
24,117959,9,4386,0,40, >50K,0
25,358975,9,0,0,35, <=50K,1
50,211319,14,0,0,38, <=50K,1
45,390368,10,15024,0,99, >50K,0
34,35644,10,0,0,40, >50K,0
26,137951,6,0,0,40, <=50K,1
48,36020,13,0,0,50, >50K,0
41,169995,10,0,0,20, <=50K,1
32,191777,14,0,0,40, <=50K,1
50,160572,9,3137,0,47, <=50K,1
54,256916,9,0,0,45, <=50K,1
25,114838,15,0,0,8, <=50K,1
34,203463,10,0,0,40, <=50K,1
42,138634,9,0,0,40, <=50K,1
46,219962,13,7298,0,40, >50K,0
35,287658,10,0,0,40, >50K,0
34,133278,8,0,0,53, <=50K,1
50,154779,10,0,0,40, <=50K,1
35,98389,7,0,0,40, <=50K,1
19,43739,9,0,0,40, <=50K,1
35,148903,9,0,0,16, >50K,0
47,121124,13,0,0,40, >50K,0
23,32616,13,0,0,20, <=50K,1
51,100933,9,0,0,40, <=50K,1
38,122493,6,0,1887,40, >50K,0
28,187160,15,0,0,55, <=50K,1
25,303431,9,0,0,40, <=50K,1
18,53109,7,0,0,20, <=50K,1
30,427474,5,0,0,40, <=50K,1
30,56121,9,0,0,40, <=50K,1
64,80333,9,0,0,40, >50K,0
21,213341,7,0,1762,40, <=50K,1
30,460408,9,0,0,40, >50K,0
22,203894,10,0,0,15, <=50K,1
51,153908,14,0,0,40, <=50K,1
59,187502,10,0,0,50, >50K,0
44,193459,11,3411,0,40, <=50K,1
30,219838,8,0,0,40, <=50K,1
45,88500,10,0,0,44, >50K,0
47,116927,9,0,0,42, >50K,0
45,433665,4,0,0,40, <=50K,1
33,193042,9,0,0,60, >50K,0
56,140558,9,0,0,40, <=50K,1
45,88564,10,7688,0,40, >50K,0
25,192321,13,0,0,40, <=50K,1
17,216137,7,0,0,8, <=50K,1
72,271352,6,0,0,12, <=50K,1
40,209547,13,0,0,60, >50K,0
51,174102,9,0,0,40, >50K,0
65,180807,9,991,0,20, <=50K,1
49,33673,8,0,0,35, <=50K,1
40,117860,9,0,0,40, <=50K,1
43,243476,9,0,0,40, <=50K,1
27,69132,13,0,0,37, <=50K,1
28,53147,13,0,0,40, <=50K,1
53,251804,3,0,0,30, <=50K,1
33,200246,10,0,0,40, <=50K,1
23,175837,7,0,0,40, <=50K,1
43,94113,10,0,0,45, <=50K,1
30,137076,9,0,0,40, >50K,0
34,226296,13,0,0,40, >50K,0
37,191841,13,8614,0,40, >50K,0
28,30070,13,0,0,50, <=50K,1
21,224640,10,0,0,40, <=50K,1
82,403910,9,0,0,3, <=50K,1
31,259705,9,0,0,40, <=50K,1
36,328466,3,0,0,50, >50K,0
23,126945,10,0,0,25, <=50K,1
42,157425,13,0,0,45, <=50K,1
26,102476,9,0,0,50, <=50K,1
57,174132,14,0,1977,40, >50K,0
30,291951,9,0,0,40, <=50K,1
34,48935,13,0,0,40, <=50K,1
35,417136,9,0,0,40, <=50K,1
26,333108,9,0,0,40, <=50K,1
44,124924,9,0,0,40, <=50K,1
50,297906,10,0,0,50, >50K,0
58,113806,13,7688,0,30, >50K,0
18,130849,7,0,0,8, <=50K,1
45,140644,13,0,0,40, >50K,0
34,287315,9,0,0,40, <=50K,1
33,176673,9,0,0,40, <=50K,1
31,168906,12,0,0,35, <=50K,1
24,27939,10,0,0,24, <=50K,1
23,233923,10,0,0,20, <=50K,1
75,31428,9,3456,0,40, <=50K,1
35,372525,13,0,0,40, <=50K,1
40,240027,10,0,0,45, <=50K,1
23,106957,7,14344,0,40, >50K,0
31,243142,9,0,0,40, <=50K,1
30,164309,9,0,0,35, <=50K,1
25,122175,13,0,0,45, >50K,0
41,214838,14,0,0,60, >50K,0
17,195262,7,0,0,35, <=50K,1
49,151107,9,0,0,40, <=50K,1
24,275691,7,0,0,39, <=50K,1
46,214955,12,0,0,40, <=50K,1
24,208882,9,0,0,40, <=50K,1
25,182227,9,0,1579,40, <=50K,1
21,191243,10,0,0,40, <=50K,1
55,190514,4,0,0,75, <=50K,1
27,168827,9,0,0,40, <=50K,1
28,204600,9,0,0,40, <=50K,1
26,266639,13,0,0,40, <=50K,1
19,175081,5,0,0,60, <=50K,1
33,112941,9,0,0,40, >50K,0
38,181943,13,0,0,35, <=50K,1
36,129591,9,0,0,40, <=50K,1
18,165316,9,0,0,30, <=50K,1
56,184598,5,0,0,99, <=50K,1
64,205479,13,0,0,50, >50K,0
43,172826,10,99999,0,55, >50K,0
33,169496,13,0,0,50, >50K,0
23,27415,7,0,0,40, <=50K,1
29,126208,9,0,0,40, <=50K,1
38,175360,6,0,2559,90, >50K,0
45,339681,14,1506,0,45, <=50K,1
46,175625,15,0,0,40, <=50K,1
43,410867,16,0,0,50, >50K,0
46,99385,13,0,0,40, <=50K,1
23,109430,9,0,0,40, <=50K,1
39,150057,14,0,0,50, >50K,0
35,255191,13,0,0,45, >50K,0
47,39986,13,0,0,40, <=50K,1
41,37869,9,0,1902,40, >50K,0
37,758700,5,3781,0,50, <=50K,1
72,177226,9,0,0,8, <=50K,1
23,140764,11,0,0,15, <=50K,1
17,277541,7,0,0,5, <=50K,1
38,75826,15,0,0,40, <=50K,1
22,302347,9,4416,0,40, <=50K,1
34,254270,13,0,0,40, <=50K,1
25,324609,9,0,0,40, <=50K,1
47,161311,9,0,0,30, <=50K,1
27,50295,10,0,0,48, <=50K,1
53,81794,8,0,0,40, <=50K,1
51,135102,9,0,0,65, <=50K,1
70,167358,5,1111,0,15, <=50K,1
31,132996,9,5178,0,45, >50K,0
39,280570,13,0,0,45, <=50K,1
48,278039,9,0,0,60, <=50K,1
31,382368,10,0,0,40, <=50K,1
39,160402,10,0,0,38, <=50K,1
32,182926,14,0,0,40, <=50K,1
48,31264,10,5178,0,40, >50K,0
18,423024,9,0,0,20, <=50K,1
29,250679,9,0,0,40, <=50K,1
51,154891,9,0,0,52, <=50K,1
28,282398,10,0,0,40, >50K,0
23,203139,10,0,0,40, <=50K,1
34,226629,9,0,0,40, <=50K,1
34,114691,10,0,0,50, >50K,0
33,83446,7,0,0,40, >50K,0
21,57211,9,0,0,40, <=50K,1
50,167728,16,0,0,60, >50K,0
44,197462,9,0,0,40, <=50K,1
29,100579,11,0,0,40, <=50K,1
21,113163,10,0,0,50, <=50K,1
39,219155,9,0,0,43, <=50K,1
80,252466,11,0,0,24, <=50K,1
27,46868,13,0,0,15, <=50K,1
24,60783,10,0,0,70, >50K,0
34,329587,6,0,0,35, <=50K,1
44,387770,10,0,0,15, <=50K,1
22,95566,10,0,0,22, <=50K,1
64,192695,3,0,0,70, <=50K,1
36,49837,10,0,0,40, <=50K,1
19,292583,9,0,0,30, <=50K,1
24,141113,4,2580,0,40, <=50K,1
60,204486,13,0,0,8, >50K,0
35,24106,10,0,0,40, >50K,0
38,149419,11,0,0,50, <=50K,1
30,232475,9,0,0,40, <=50K,1
48,172695,11,0,0,40, <=50K,1
33,196898,13,0,0,40, <=50K,1
63,41161,9,0,0,55, <=50K,1
39,174330,10,0,0,40, <=50K,1
54,175339,9,0,0,50, >50K,0
58,97969,2,0,0,40, <=50K,1
51,162632,9,7298,0,60, >50K,0
49,98738,9,0,0,40, >50K,0
32,205152,13,0,0,40, <=50K,1
39,111499,12,0,0,20, >50K,0
34,154227,10,0,0,75, <=50K,1
34,98101,13,7688,0,45, >50K,0
33,150570,9,0,0,40, <=50K,1
50,299831,10,0,880,40, <=50K,1
34,209317,9,0,0,40, <=50K,1
34,115066,10,0,0,42, >50K,0
33,213226,9,0,0,60, <=50K,1
22,229456,10,0,0,35, <=50K,1
66,146454,10,5556,0,40, >50K,0
26,102476,13,0,0,25, <=50K,1
33,100154,6,0,0,40, <=50K,1
61,160942,14,3103,0,50, <=50K,1
54,172962,9,0,0,40, <=50K,1
17,134480,7,0,0,25, <=50K,1
39,184801,13,0,0,40, >50K,0
39,78171,10,0,0,40, <=50K,1
43,147269,6,0,0,60, <=50K,1
59,170104,13,0,1977,50, >50K,0
66,313255,10,0,0,24, <=50K,1
27,241607,13,0,0,50, <=50K,1
26,227858,10,0,0,48, <=50K,1
34,56121,7,0,0,40, <=50K,1
49,203505,9,0,0,40, <=50K,1
23,62339,13,0,0,40, <=50K,1
49,261059,6,2176,0,40, <=50K,1
41,27187,11,0,2415,12, >50K,0
31,181091,9,0,0,50, >50K,0
26,202091,9,0,0,40, <=50K,1
41,102085,9,0,0,40, <=50K,1
26,323044,10,0,0,45, >50K,0
29,32897,9,0,0,25, <=50K,1
54,346014,10,0,0,40, <=50K,1
34,158800,13,0,0,50, >50K,0
23,177087,7,0,0,35, <=50K,1
20,219262,5,0,0,50, <=50K,1
28,250135,14,0,1902,55, <=50K,1
26,207537,9,0,0,40, <=50K,1
27,404998,11,0,0,40, <=50K,1
27,284196,6,0,0,40, <=50K,1
17,221403,8,0,0,18, <=50K,1
64,182979,9,0,0,40, <=50K,1
48,493862,9,7298,0,38, >50K,0
41,171234,10,0,0,55, <=50K,1
23,177787,13,0,0,30, <=50K,1
41,130760,13,0,0,24, <=50K,1
65,139960,9,10605,0,60, >50K,0
62,97017,10,0,0,45, <=50K,1
38,450924,8,3942,0,40, <=50K,1
18,282609,3,0,0,30, <=50K,1
31,265706,13,0,0,40, <=50K,1
52,561489,14,0,0,50, <=50K,1
29,405177,6,0,0,40, <=50K,1
43,169203,11,0,0,35, <=50K,1
30,243841,9,0,0,40, <=50K,1
46,122026,9,0,0,50, <=50K,1
38,89559,10,0,0,40, <=50K,1
36,197202,9,0,0,40, <=50K,1
29,204862,12,0,0,36, <=50K,1
22,436798,10,0,0,40, <=50K,1
33,125761,10,0,0,36, <=50K,1
70,88638,14,7896,0,50, >50K,0
67,132626,10,0,0,6, <=50K,1
63,257659,14,0,0,3, <=50K,1
58,231818,6,0,0,40, <=50K,1
31,200192,9,0,0,40, <=50K,1
32,127895,10,0,0,35, <=50K,1
65,31924,10,0,0,15, <=50K,1
55,160303,9,0,0,40, <=50K,1
30,185027,13,0,0,40, >50K,0
66,262552,10,0,0,7, <=50K,1
31,94235,13,0,0,46, <=50K,1
30,75755,11,0,0,40, <=50K,1
49,120451,6,0,0,40, <=50K,1
24,174907,9,0,0,30, <=50K,1
28,25955,10,0,0,40, <=50K,1
33,181372,14,0,0,50, >50K,0
29,144592,15,0,0,50, >50K,0
45,127111,14,0,0,55, >50K,0
54,138852,10,0,0,45, >50K,0
24,188300,7,0,0,40, <=50K,1
28,200515,10,0,0,35, >50K,0
28,115971,10,0,0,40, <=50K,1
44,189956,13,15024,0,40, >50K,0
57,286836,6,0,0,8, <=50K,1
31,247328,5,3137,0,40, <=50K,1
55,98361,9,0,0,35, <=50K,1
42,110028,9,0,0,40, <=50K,1
39,116608,9,0,0,40, <=50K,1
25,252803,9,0,0,40, <=50K,1
29,320451,9,0,0,40, <=50K,1
54,53407,9,0,0,40, <=50K,1
43,178976,9,0,0,40, <=50K,1
65,29276,4,0,0,24, <=50K,1
18,108892,7,0,0,12, <=50K,1
55,157639,10,0,0,40, >50K,0
46,208067,9,0,0,40, <=50K,1
37,353298,9,99999,0,50, >50K,0
37,256723,10,0,0,35, <=50K,1
34,236318,9,0,0,40, <=50K,1
26,212304,4,0,0,48, <=50K,1
29,201556,13,0,0,50, <=50K,1
39,189623,13,0,0,60, <=50K,1
39,164593,16,4787,0,40, >50K,0
24,204172,9,0,0,48, <=50K,1
23,157331,13,0,0,40, <=50K,1
50,196307,10,7688,0,40, >50K,0
37,295127,10,0,0,47, <=50K,1
28,389857,9,0,0,16, <=50K,1
38,201410,13,0,0,40, >50K,0
33,392812,13,0,0,45, >50K,0
17,108273,6,0,0,12, <=50K,1
41,152880,9,0,0,28, <=50K,1
42,266135,10,0,0,52, >50K,0
51,136121,11,0,0,38, <=50K,1
52,84451,11,0,0,32, <=50K,1
47,258498,10,0,0,52, <=50K,1
43,211860,9,0,0,24, <=50K,1
24,197731,9,0,0,49, >50K,0
32,169589,11,0,0,40, >50K,0
28,193158,9,0,0,40, <=50K,1
59,162136,10,0,0,56, <=50K,1
32,171091,9,0,0,40, <=50K,1
20,347935,10,0,0,40, <=50K,1
34,155151,10,0,0,40, >50K,0
49,122493,9,0,0,40, <=50K,1
54,35576,10,0,2415,50, >50K,0
45,278151,9,0,0,40, <=50K,1
27,33429,10,0,0,40, <=50K,1
23,147253,12,0,0,40, <=50K,1
56,356067,14,0,0,16, <=50K,1
60,175273,9,0,0,40, <=50K,1
22,199011,9,0,0,20, <=50K,1
31,112627,9,0,0,40, <=50K,1
42,198619,11,0,0,40, <=50K,1
38,107630,13,0,0,40, <=50K,1
47,193012,14,0,0,50, >50K,0
33,392812,10,0,0,50, >50K,0
20,116666,10,0,0,8, <=50K,1
22,437994,10,0,0,20, <=50K,1
64,114994,9,0,0,20, <=50K,1
24,388093,13,0,0,40, <=50K,1
32,161478,13,0,0,46, <=50K,1
48,325372,2,0,0,40, <=50K,1
51,55500,8,0,0,40, <=50K,1
28,208249,10,0,0,24, <=50K,1
79,146244,16,0,0,40, <=50K,1
18,434430,9,0,0,30, <=50K,1
20,162688,11,0,0,40, <=50K,1
28,115438,13,0,0,40, <=50K,1
39,299828,3,0,0,30, <=50K,1
39,126569,15,15024,0,60, >50K,0
30,207301,9,0,1980,40, <=50K,1
30,167790,9,0,0,40, <=50K,1
62,159165,9,0,0,36, <=50K,1
39,432555,9,0,1628,40, <=50K,1
46,443179,13,0,0,8, <=50K,1
25,198870,13,0,0,35, <=50K,1
23,314539,9,0,0,40, <=50K,1
34,198183,9,0,0,40, <=50K,1
21,194096,10,0,0,40, <=50K,1
21,248512,10,0,0,40, <=50K,1
28,269246,7,0,0,40, <=50K,1
46,328216,13,15024,0,40, >50K,0
45,204405,11,0,0,20, <=50K,1
29,168479,14,0,0,40, >50K,0
30,59951,10,0,0,40, <=50K,1
25,27678,10,0,0,60, <=50K,1
43,396116,9,0,0,40, <=50K,1
49,123584,7,0,0,75, <=50K,1
